10,414
10,776
10,1045
10,1283
10,1459
10,1610
10,1747
10,1837
10,1910
10,1937
10,2030
10,2159
10,2250
10,2314
10,2426
10,2570
10,2668
10,2748
10,2872
10,3061
10,3265
10,3467
10,3525
10,3586
10,3741
10,3905
10,4098
10,4316
10,4434
10,4633
10,4729
10,4869
10,4972
10,5170
10,5352
10,5524
10,5676
10,5855
10,5966
10,6092
10,6221
10,6370
10,6559
10,6653
10,6706
10,6766
10,6791
10,6816
10,6852
10,6911
10,6963
10,7043
10,7122
10,7156
10,7210
10,7248
10,7267
10,7351
10,7481
10,7519
10,7576
10,7599
10,7676
10,7718
