NoAction,Action,Num
-0.588519184,-74.16661276,312
-0.279588477,-74.16661276,313
-0.121934914,-74.16661276,314
-0.040680722,-74.16661276,315
-5.271558881,-74.16661276,316
-3.159708261,-74.16661276,317
-0.952715746,-74.16661276,318
-0.427986637,-74.16661276,319
-0.129293155,-74.16661276,320
-0.511412136,-74.16661276,321
-0.295285093,-74.16661276,322
-0.088642948,-74.16661276,323
-1.737591409,-74.16661276,324
-0.988247838,-74.16661276,325
-27.73996734,-74.16661276,326
-16.82948645,-74.16661276,327
-10.87548717,-74.16661276,328
-3.323914165,-74.16661276,329
-5.928403745,-74.16661276,330
-2.526602808,-74.16661276,331
-4.064806179,-74.16661276,332
-1.699345643,-74.16661276,333
-1.693547739,-74.16661276,334
-1.006620486,-74.16661276,335
-1.861998969,-74.16661276,336
-0.878890922,-74.16661276,337
-0.411072405,-74.16661276,338
-0.299513026,-74.16661276,339
-1.016181341,-74.16661276,340
-0.594629911,-74.16661276,341
-0.341074724,-74.16661276,342
-0.710053969,-74.16661276,343
-6.093171712,-74.16661276,344
-1.83962067,-74.16661276,345
-8.879190592,-74.16661276,346
-5.115160339,-74.16661276,347
-4.23894637,-74.16661276,348
-4.721375612,-74.16661276,349
-1.802413702,-74.16661276,350
-15.75079182,-74.16661276,351
-10.22864133,-74.16661276,352
-3.088201248,-74.16661276,353
-3.011514398,-74.16661276,354
-0.917199059,-74.16661276,355
-2.208295892,-74.16661276,356
-1.296555408,-74.16661276,357
-0.395655175,-74.16661276,358
-0.699406944,-74.16661276,359
-0.21205951,-74.16661276,360
-0.24786412,-74.16661276,361
-0.275589534,-74.16661276,362
-6.210760551,-74.16661276,363
-10.01065924,-74.16661276,364
-5.206449924,-74.16661276,365
-6.432282894,-74.16661276,366
-4.118624822,-74.16661276,367
-4.425404595,-74.16661276,368
-3.160065031,-74.16661276,369
-2.362647728,-74.16661276,370
-1.668214229,-74.16661276,371
-1.021494959,-74.16661276,372
-1.627611968,-74.16661276,373
-1.144101171,-74.16661276,374
-0.797206373,-74.16661276,375
-0.545172687,-74.16661276,376
-0.400835883,-74.16661276,377
-0.17174286,-74.16661276,378
-0.241094344,-74.16661276,379
-0.170256022,-74.16661276,380
-0.119929343,-74.16661276,381
-10.91040231,-74.16661276,382
-4.781353522,-74.16661276,383
-1.453429931,-74.16661276,384
-1.060025536,-74.16661276,385
-0.471020743,-74.16661276,386
-0.34093269,-74.16661276,387
-0.146077158,-74.16661276,388
-0.090422221,-74.16661276,389
-0.044916025,-74.16661276,390
-0.059287151,-74.16661276,391
-0.432790561,-74.16661276,392
-0.204975906,-74.16661276,393
-0.204218225,-74.16661276,394
-1.199362395,-74.16661276,395
-0.722523697,-74.16661276,396
-0.238175382,-74.16661276,397
-0.080700665,-74.16661276,398
-0.05905067,-74.16661276,399
-1.030573136,-74.16661276,400
-0.333532616,-74.16661276,401
-0.44408558,-74.16661276,402
-0.437246931,-74.16661276,403
-0.342741547,-74.16661276,404
-127.477294,-74.16661276,405
-127.477294,-63.64496096,406
-127.477294,-196.5857019,407
-80.46142723,-196.5857019,408
-38.00566914,-196.5857019,409
-15.9254447,-196.5857019,410
-5.152761273,-196.5857019,411
-1.619478029,-196.5857019,412
-0.708331257,-196.5857019,413
-0.314144943,-196.5857019,414
-0.15296147,-196.5857019,415
-0.0761564,-196.5857019,416
-0.074548246,-196.5857019,417
-0.050953793,-196.5857019,418
-0.046636075,-196.5857019,419
-0.086878985,-196.5857019,420
-0.066371265,-196.5857019,421
-0.052485811,-196.5857019,422
-0.036419317,-196.5857019,423
-0.07894268,-196.5857019,424
-0.254558187,-196.5857019,425
-0.214700174,-196.5857019,426
-0.08965285,-196.5857019,427
-0.089617134,-196.5857019,428
-0.069431868,-196.5857019,429
-0.073782734,-196.5857019,430
-0.053165239,-196.5857019,431
-0.028065751,-196.5857019,432
-0.013417581,-196.5857019,433
-0.683636258,-196.5857019,434
-5.597136957,-196.5857019,435
-2.085424366,-196.5857019,436
-0.759033544,-196.5857019,437
-0.309418256,-196.5857019,438
-2.383855788,-196.5857019,439
-2.048831925,-196.5857019,440
-1.151624886,-196.5857019,441
-1.247805989,-196.5857019,442
-1.028850313,-196.5857019,443
-1.049201906,-196.5857019,444
-2.185539937,-196.5857019,445
-2.206475972,-196.5857019,446
-2.842829868,-196.5857019,447
-3.262576831,-196.5857019,448
-2.167055056,-196.5857019,449
-1.180826959,-196.5857019,450
-1.18114885,-196.5857019,451
-17.34905814,-196.5857019,452
-27.97884989,-196.5857019,453
-9.041583585,-196.5857019,454
-22.55591408,-196.5857019,455
-13.57505545,-196.5857019,456
-19.09929424,-196.5857019,457
-6.48365843,-196.5857019,458
-3.651856638,-196.5857019,459
-9.114024044,-196.5857019,460
-5.933517567,-196.5857019,461
-7.548583288,-196.5857019,462
-4.133074853,-196.5857019,463
-1.491883751,-196.5857019,464
-2.214384948,-196.5857019,465
-4.838708231,-196.5857019,466
-2.923891783,-196.5857019,467
-4.059094596,-196.5857019,468
-2.587194591,-196.5857019,469
-1.309334154,-196.5857019,470
-51.24535918,-196.5857019,471
-15.47333651,-196.5857019,472
-4.772325028,-196.5857019,473
-1.607161359,-196.5857019,474
-15.85390788,-196.5857019,475
-13.74884983,-196.5857019,476
-4.969367383,-196.5857019,477
-3.802760283,-196.5857019,478
-3.958659211,-196.5857019,479
-4.796892733,-196.5857019,480
-2.802401114,-196.5857019,481
-2.152264943,-196.5857019,482
-5.719283665,-196.5857019,483
-3.482041392,-196.5857019,484
-2.635320508,-196.5857019,485
-1.639459302,-196.5857019,486
-1.064852547,-196.5857019,487
-1.014881669,-196.5857019,488
-6.9041126,-196.5857019,489
-13.8476653,-196.5857019,490
-6.644262191,-196.5857019,491
-28.84668294,-196.5857019,492
-16.72601572,-196.5857019,493
-13.78042011,-196.5857019,494
-7.668430932,-196.5857019,495
-4.373286178,-196.5857019,496
-13.28379587,-196.5857019,497
-8.16886374,-196.5857019,498
-7.459391386,-196.5857019,499
-2.854955747,-196.5857019,500
-2.456385957,-196.5857019,501
-2.404117092,-196.5857019,502
-1.187363579,-196.5857019,503
-0.996824268,-196.5857019,504
-0.849141618,-196.5857019,505
-0.4577227,-196.5857019,506
-7.643248548,-196.5857019,507
-6.776018041,-196.5857019,508
-4.087328657,-196.5857019,509
-7.12771761,-196.5857019,510
-4.784401314,-196.5857019,511
-1.94512584,-196.5857019,512
-2.578598022,-196.5857019,513
-1.040987768,-196.5857019,514
-1.03719074,-196.5857019,515
-1.678521428,-196.5857019,516
-1.140538632,-196.5857019,517
-9.413498111,-196.5857019,518
-2.953573752,-196.5857019,519
-5.010994515,-196.5857019,520
-1.642668416,-196.5857019,521
-2.678087909,-196.5857019,522
-4.109952604,-196.5857019,523
-1.538352257,-196.5857019,524
-2.248745551,-196.5857019,525
-3.156867005,-196.5857019,526
-1.620477308,-196.5857019,527
-0.823172946,-196.5857019,528
-0.512378474,-196.5857019,529
-0.850802034,-196.5857019,530
-0.485192334,-196.5857019,531
-49.45383238,-196.5857019,532
-48.16463713,-196.5857019,533
-25.60410031,-196.5857019,534
-8.686849389,-196.5857019,535
-3.0801235,-196.5857019,536
-4.549677809,-196.5857019,537
-1.599508875,-196.5857019,538
-0.542120198,-196.5857019,539
-0.393810872,-196.5857019,540
-2.156641542,-196.5857019,541
-0.945895852,-196.5857019,542
-0.757329457,-196.5857019,543
-1.255685486,-196.5857019,544
-0.514614608,-196.5857019,545
-0.320838221,-196.5857019,546
-0.152456072,-196.5857019,547
-0.278429047,-196.5857019,548
-1.23129241,-196.5857019,549
-0.414527955,-196.5857019,550
-0.78803553,-196.5857019,551
-0.644044155,-196.5857019,552
-2.116733377,-196.5857019,553
-0.824851244,-196.5857019,554
-0.384119656,-196.5857019,555
-1.230671775,-196.5857019,556
-0.614247909,-196.5857019,557
-0.8482534,-196.5857019,558
-0.359879324,-196.5857019,559
-0.809311078,-196.5857019,560
-0.474911188,-196.5857019,561
-0.382198444,-196.5857019,562
-0.361242825,-196.5857019,563
-0.237573139,-196.5857019,564
-0.101381602,-196.5857019,565
-0.29956035,-196.5857019,566
-7.599688765,-196.5857019,567
-2.419890819,-196.5857019,568
-2.141905505,-196.5857019,569
-0.965124581,-196.5857019,570
-0.355279696,-196.5857019,571
-6.706711214,-196.5857019,572
-3.928662627,-196.5857019,573
-4.154396374,-196.5857019,574
-3.776482977,-196.5857019,575
-2.537440239,-196.5857019,576
-1.534297705,-196.5857019,577
-1.140799199,-196.5857019,578
-1.198684784,-196.5857019,579
-0.600778649,-196.5857019,580
-0.509085378,-196.5857019,581
-0.584786637,-196.5857019,582
-0.531794512,-196.5857019,583
-0.347886804,-196.5857019,584
-0.269585882,-196.5857019,585
-0.175264281,-196.5857019,586
-1.055796083,-196.5857019,587
-0.611277186,-196.5857019,588
-2.81011043,-196.5857019,589
-1.022946459,-196.5857019,590
-1.109283334,-196.5857019,591
-0.714252106,-196.5857019,592
-0.768563992,-196.5857019,593
-2.01825393,-196.5857019,594
-1.642175142,-196.5857019,595
-1.012273982,-196.5857019,596
-1.720614591,-196.5857019,597
-9.384863079,-196.5857019,598
-4.253212719,-196.5857019,599
-6.603173138,-196.5857019,600
-3.310260564,-196.5857019,601
-36.72212183,-196.5857019,602
-20.28055677,-196.5857019,603
-9.183448749,-196.5857019,604
-3.909487166,-196.5857019,605
-1.365592843,-196.5857019,606
-3.134568061,-196.5857019,607
-1.78503235,-196.5857019,608
-1.470458153,-196.5857019,609
-0.755506626,-196.5857019,610
-0.962190876,-196.5857019,611
-1.398758667,-196.5857019,612
-11.21983316,-196.5857019,613
-3.750224071,-196.5857019,614
-1.242789875,-196.5857019,615
-5.371591932,-196.5857019,616
-2.229924327,-196.5857019,617
-5.264657596,-196.5857019,618
-8.669323003,-196.5857019,619
-3.946075966,-196.5857019,620
-1.792266882,-196.5857019,621
-4.90020233,-196.5857019,622
-6.911287379,-196.5857019,623
-111.393253,-196.5857019,624
-68.08812375,-196.5857019,625
-41.05662055,-196.5857019,626
-187.0282224,-196.5857019,627
-56.73875559,-196.5857019,628
-17.38948817,-196.5857019,629
-5.389418085,-196.5857019,630
-7.513560839,-196.5857019,631
-7.643530441,-196.5857019,632
-5.074548979,-196.5857019,633
-18.69375221,-196.5857019,634
-53.43252523,-196.5857019,635
-17.58825528,-196.5857019,636
-6.339291344,-196.5857019,637
-2.582537265,-196.5857019,638
-1.475177363,-196.5857019,639
-14.93873045,-196.5857019,640
-5.325599578,-196.5857019,641
-18.18809102,-196.5857019,642
-15.44700873,-196.5857019,643
-10.06380375,-196.5857019,644
-5.804146198,-196.5857019,645
-2.751876604,-196.5857019,646
-1.202050363,-196.5857019,647
-0.515789534,-196.5857019,648
-0.22503799,-196.5857019,649
-0.212904005,-196.5857019,650
-2.922127152,-196.5857019,651
-2.474171818,-196.5857019,652
-3.422134196,-196.5857019,653
-3.476479528,-196.5857019,654
-2.163105082,-196.5857019,655
-1.486880276,-196.5857019,656
-1.559552917,-196.5857019,657
-1.747792629,-196.5857019,658
-1.451765982,-196.5857019,659
-0.972138421,-196.5857019,660
-1.360226861,-196.5857019,661
-0.891906248,-196.5857019,662
-0.740874321,-196.5857019,663
-1.375522733,-196.5857019,664
-0.884759688,-196.5857019,665
-6.573733785,-196.5857019,666
-2.191194396,-196.5857019,667
-2.916876059,-196.5857019,668
-5.528227205,-196.5857019,669
-1.804990454,-196.5857019,670
-4.64035231,-196.5857019,671
-4.21974386,-196.5857019,672
-3.943484552,-196.5857019,673
-2.362679627,-196.5857019,674
-1.482453544,-196.5857019,675
-21.2112335,-196.5857019,676
-56.66158096,-196.5857019,677
-23.36913266,-196.5857019,678
-195.0040925,-196.5857019,679
-129.7976801,-196.5857019,680
-129.2491918,-196.5857019,681
-87.07953355,-196.5857019,682
-31.37752837,-196.5857019,683
-17.35514109,-196.5857019,684
-8.600955136,-196.5857019,685
-8.070876386,-196.5857019,686
-13.65722749,-196.5857019,687
-83.79540715,-196.5857019,688
-37.91128479,-196.5857019,689
-42.27585399,-196.5857019,690
-57.04884993,-196.5857019,691
-33.3442537,-196.5857019,692
-24.10867589,-196.5857019,693
-15.02319764,-196.5857019,694
-11.10476392,-196.5857019,695
-12.46487192,-196.5857019,696
-8.398378251,-196.5857019,697
-5.602402793,-196.5857019,698
-19.94596493,-196.5857019,699
-18.17935,-196.5857019,700
-14.20891976,-196.5857019,701
-6.916881383,-196.5857019,702
-4.310131139,-196.5857019,703
-6.159168574,-196.5857019,704
-3.477623232,-196.5857019,705
-4.305894895,-196.5857019,706
-3.178024381,-196.5857019,707
-1.699501387,-196.5857019,708
-1.378642733,-196.5857019,709
-1.883564551,-196.5857019,710
-1.388191449,-196.5857019,711
-8.221875723,-196.5857019,712
-3.159458602,-196.5857019,713
-3.735454161,-196.5857019,714
-3.674511395,-196.5857019,715
-5.313778485,-196.5857019,716
-3.197668948,-196.5857019,717
-2.438008827,-196.5857019,718
-1.308812419,-196.5857019,719
-1.438939318,-196.5857019,720
-1.241614464,-196.5857019,721
-2.694297477,-196.5857019,722
-1.770611521,-196.5857019,723
-2.250687879,-196.5857019,724
-4.452136469,-196.5857019,725
-5.092818497,-196.5857019,726
-14.51076182,-196.5857019,727
-9.379978571,-196.5857019,728
-5.014921544,-196.5857019,729
-5.394354987,-196.5857019,730
-4.284851093,-196.5857019,731
-17.30647742,-196.5857019,732
-27.14999518,-196.5857019,733
-18.19111913,-196.5857019,734
-11.32095025,-196.5857019,735
-11.28530707,-196.5857019,736
-9.046750001,-196.5857019,737
-6.829752193,-196.5857019,738
-5.640511976,-196.5857019,739
-4.025295428,-196.5857019,740
-2.91729383,-196.5857019,741
-31.51225826,-196.5857019,742
-45.50605299,-196.5857019,743
-43.60429941,-196.5857019,744
-67.38204415,-196.5857019,745
-42.06496082,-196.5857019,746
-70.872548,-196.5857019,747
-44.32761733,-196.5857019,748
-18.05258357,-196.5857019,749
-9.031419888,-196.5857019,750
-4.58222415,-196.5857019,751
-2.308078898,-196.5857019,752
-13.64977731,-196.5857019,753
-11.81188236,-196.5857019,754
-7.43995052,-196.5857019,755
-2.830651916,-196.5857019,756
-1.259946393,-196.5857019,757
-0.620403209,-196.5857019,758
-10.65882206,-196.5857019,759
-4.427125267,-196.5857019,760
-11.66301515,-196.5857019,761
-4.59162293,-196.5857019,762
-5.388659059,-196.5857019,763
-3.29264554,-196.5857019,764
-19.26133653,-196.5857019,765
-16.71676127,-196.5857019,766
-10.5660789,-196.5857019,767
-6.854633926,-196.5857019,768
-3.8745862,-196.5857019,769
-2.538804268,-196.5857019,770
-39.15657453,-196.5857019,771
-34.47335504,-196.5857019,772
-39.22024331,-196.5857019,773
-27.06390891,-196.5857019,774
-17.09807133,-196.5857019,775
-6.78133748,-196.5857019,776
-2.326611712,-196.5857019,777
-5.379171666,-196.5857019,778
-22.37765023,-196.5857019,779
-78.23969259,-196.5857019,780
-31.43472992,-196.5857019,781
-20.5889781,-196.5857019,782
-12.52275088,-196.5857019,783
-27.26666999,-196.5857019,784
-19.23796303,-196.5857019,785
-20.85638488,-196.5857019,786
-13.8736174,-196.5857019,787
-8.443466263,-196.5857019,788
-5.78566075,-196.5857019,789
-14.58068883,-196.5857019,790
-32.40068265,-196.5857019,791
-12.34854912,-196.5857019,792
-5.087407707,-196.5857019,793
-24.37494599,-196.5857019,794
-15.76293685,-196.5857019,795
-12.58791173,-196.5857019,796
-6.249692177,-196.5857019,797
-3.575712695,-196.5857019,798
-2.186552289,-196.5857019,799
-6.903363718,-196.5857019,800
-5.093041058,-196.5857019,801
-4.911348263,-196.5857019,802
-5.150878529,-196.5857019,803
-13.25622244,-196.5857019,804
-8.65956767,-196.5857019,805
-6.626005147,-196.5857019,806
-5.147294533,-196.5857019,807
-5.813550907,-196.5857019,808
-10.70101642,-196.5857019,809
-8.545484195,-196.5857019,810
-5.2143996,-196.5857019,811
-2.690759913,-196.5857019,812
-18.92730129,-196.5857019,813
-13.17820686,-196.5857019,814
-6.032978984,-196.5857019,815
-21.54701782,-196.5857019,816
-13.54764043,-196.5857019,817
-6.941069357,-196.5857019,818
-6.276603645,-196.5857019,819
-16.86176249,-196.5857019,820
-12.66879373,-196.5857019,821
-5.938710311,-196.5857019,822
-6.688799174,-196.5857019,823
-3.647745712,-196.5857019,824
-1.945159101,-196.5857019,825
-4.627846409,-196.5857019,826
-53.22255956,-196.5857019,827
-48.34636982,-196.5857019,828
-16.3109972,-196.5857019,829
-11.56535847,-196.5857019,830
-13.53318751,-196.5857019,831
-7.409736547,-196.5857019,832
-3.434480445,-196.5857019,833
-4.423545062,-196.5857019,834
-2.774964734,-196.5857019,835
-20.21976419,-196.5857019,836
-6.627203278,-196.5857019,837
-2.770641118,-196.5857019,838
-3.84720625,-196.5857019,839
-7.634154786,-196.5857019,840
-6.113294205,-196.5857019,841
-18.68245629,-196.5857019,842
-8.715001332,-196.5857019,843
-3.240879854,-196.5857019,844
-7.19206008,-196.5857019,845
-18.06317717,-196.5857019,846
-9.371378418,-196.5857019,847
-5.3870931,-196.5857019,848
-2.77960472,-196.5857019,849
-0.989235293,-196.5857019,850
-1.064226722,-196.5857019,851
-2.112635342,-196.5857019,852
-2.910185212,-196.5857019,853
-20.12167651,-196.5857019,854
-15.13514276,-196.5857019,855
-10.53154843,-196.5857019,856
-9.357479826,-196.5857019,857
-4.577467066,-196.5857019,858
-4.593746013,-196.5857019,859
-6.326457204,-196.5857019,860
-3.618652353,-196.5857019,861
-5.04824512,-196.5857019,862
-3.892989403,-196.5857019,863
-9.279112639,-196.5857019,864
-5.772220749,-196.5857019,865
-6.764879409,-196.5857019,866
-5.359774254,-196.5857019,867
-2.523956102,-196.5857019,868
-2.868042598,-196.5857019,869
-5.092155725,-196.5857019,870
-1.808297187,-196.5857019,871
-4.131065285,-196.5857019,872
-3.78157111,-196.5857019,873
-6.647505997,-196.5857019,874
-6.662670919,-196.5857019,875
-3.84097238,-196.5857019,876
-2.300603072,-196.5857019,877
-1.400648756,-196.5857019,878
-12.89178246,-196.5857019,879
-8.785129194,-196.5857019,880
-3.226778502,-196.5857019,881
-7.823179054,-196.5857019,882
-18.07496159,-196.5857019,883
-17.13296183,-196.5857019,884
-11.74060046,-196.5857019,885
-6.428664678,-196.5857019,886
-4.652072759,-196.5857019,887
-4.715924386,-196.5857019,888
-3.062805706,-196.5857019,889
-2.191501408,-196.5857019,890
-2.817454916,-196.5857019,891
-14.54023452,-196.5857019,892
-9.828629143,-196.5857019,893
-5.510843596,-196.5857019,894
-14.92228397,-196.5857019,895
-15.0807624,-196.5857019,896
-9.592146301,-196.5857019,897
-4.171535107,-196.5857019,898
-6.907729623,-196.5857019,899
-6.804599931,-196.5857019,900
-15.68489477,-196.5857019,901
-7.115183105,-196.5857019,902
-4.313679414,-196.5857019,903
-10.84928885,-196.5857019,904
-10.35896514,-196.5857019,905
-8.275245286,-196.5857019,906
-6.815968696,-196.5857019,907
-45.47786581,-196.5857019,908
-28.33745474,-196.5857019,909
-13.21283394,-196.5857019,910
-4.669683279,-196.5857019,911
-6.354913095,-196.5857019,912
-9.562099275,-196.5857019,913
-7.203797257,-196.5857019,914
-6.179737593,-196.5857019,915
-3.793400513,-196.5857019,916
-4.976131882,-196.5857019,917
-2.939367394,-196.5857019,918
-21.16074078,-196.5857019,919
-18.30802622,-196.5857019,920
-31.67353063,-196.5857019,921
-24.13435049,-196.5857019,922
-10.38540638,-196.5857019,923
-15.87800215,-196.5857019,924
-12.87335816,-196.5857019,925
-14.8064129,-196.5857019,926
